,Abs Rel,Sq Rel,RMSE,δ < 1.25,δ < 1.25²,δ < 1.25³,data_path,subset,context_size,n_depths,batch_size,model,loss,epochs,lr,optimizer,scheduler,run_name
0,10.48166561126709,5.387955188751221,0.2334100753068924,0.28661543130874634,0.59439617395401,0.8411368727684021,data/dataset_low_res,0.7,5,30,32,projexion,cauchy,8,0.0005,AdamW,ConstantLR,n_depths_30
1,10.444089889526367,5.113483905792236,0.24893949925899506,0.26010662317276,0.503229022026062,0.8543926477432251,data/dataset_low_res,0.7,3,25,32,projexion,cauchy,8,0.0005,AdamW,ConstantLR,context_size_3
2,10.452166557312012,5.346660614013672,0.23589886724948883,0.294261634349823,0.6099844574928284,0.8232668042182922,data/dataset_low_res,0.7,5,25,32,projexion,cauchy,8,0.0005,AdamW,ConstantLR,proposed
3,10.519079208374023,5.189101219177246,0.24589094519615173,0.26427289843559265,0.5108241438865662,0.85771244764328,data/dataset_low_res,0.7,5,25,32,projexion,mse,8,0.0005,AdamW,ConstantLR,loss_mse
4,10.703869819641113,5.376737594604492,0.24336469173431396,0.2670571208000183,0.5205478668212891,0.8549720644950867,data/dataset_low_res,0.7,6,25,32,projexion,cauchy,8,0.0005,AdamW,ConstantLR,context_size_6
5,10.299633026123047,5.295502185821533,0.23778881132602692,0.30993276834487915,0.6139779686927795,0.8090831637382507,data/dataset_low_res,0.7,5,35,32,projexion,cauchy,8,0.0005,AdamW,ConstantLR,n_depths_35
6,10.171616554260254,5.130471706390381,0.23475617170333862,0.2997299134731293,0.6132359504699707,0.8382907509803772,data/dataset_low_res,0.7,4,25,32,projexion,cauchy,8,0.0005,AdamW,ConstantLR,context_size_4
7,10.212464332580566,5.130922317504883,0.2342897653579712,0.3056221604347229,0.6136950254440308,0.8248298168182373,data/dataset_low_res,0.7,5,25,32,mvsnet,mse,8,0.0005,AdamW,ConstantLR,baseline
8,10.349979400634766,5.023252964019775,0.24551957845687866,0.26178622245788574,0.5111859440803528,0.856704592704773,data/dataset_low_res,0.7,5,20,32,projexion,cauchy,8,0.0005,AdamW,ConstantLR,n_depths_20
9,10.302648544311523,5.161294460296631,0.236322283744812,0.29865914583206177,0.6229580640792847,0.8325547575950623,data/dataset_low_res,0.7,5,15,32,projexion,cauchy,8,0.0005,AdamW,ConstantLR,n_depths_15
